CSsig	SBSsig	Spearman	pVal	pAdj
CX13	ID19	0.01359	0.5541	0.642756
CX13	ID20	-0.05457	0.01742	0.0280655555555556
CX13	ID21	-0.05792	0.01162	0.0259215384615385
CX13	ID22	-0.05283	0.02136	0.030972
CX13	ID23	-0.05283	0.02136	0.030972
CX13	ID24	-0.05952	0.009499	0.0229559166666667
CX13	ID25	-0.05457	0.01742	0.0280655555555556
CX13	ID26	-0.05457	0.01742	0.0280655555555556
CX13	ID27	-0.05457	0.01742	0.0280655555555556
CX13	ID28	-0.05952	0.009499	0.0229559166666667
CX13	ID29	-0.009964	0.6644	0.688128571428572
CX13	ID30	-0.05457	0.01742	0.0280655555555556
CX13	ID31	-0.07914	0.0005584	0.0020242
CX13	ID32	-0.01626	0.4791	0.5789125
CX14	ID1	-0.08092	0.0004173	0.0015127125
CX14	ID2	-0.06974	0.002367	0.0068643
CX14	ID3	-0.1029	7.075e-06	4.1035e-05
CX14	ID4	-0.1159	4.152e-07	4.0136e-06
CX14	ID5	-0.1205	1.409e-07	2.04305e-06
CX14	ID6	-0.1726	3.671e-14	1.06459e-12
CX14	ID7	-0.004681	0.8385	0.8536
CX14	ID8	-0.1059	3.799e-06	2.754275e-05
CX14	ID9	-0.04722	0.0397	0.0959416666666667
CX14	ID10	-0.08547	0.0001931	0.000933316666666667
CX14	ID11	-0.04743	0.03881	0.0959416666666667
CX14	ID12	-0.07965	0.0005143	0.00165718888888889
CX14	ID13	0.009523	0.6784	0.756676923076923
CX14	ID14	-0.08264	0.000313	0.00129671428571429
CX14	ID18	-0.02491	0.278	0.36975
CX14	ID19	0.009978	0.664	0.756676923076923
CX14	ID20	-0.03268	0.1547	0.265435294117647
CX14	ID21	-0.02157	0.3476	0.420016666666667
CX14	ID22	-0.0295	0.1989	0.304652631578947
CX14	ID23	-0.02946	0.1996	0.304652631578947
CX14	ID24	-0.02485	0.2792	0.36975
CX14	ID25	-0.03276	0.1537	0.265435294117647
CX14	ID26	-0.0327	0.1545	0.265435294117647
CX14	ID27	-0.03269	0.1545	0.265435294117647
CX14	ID28	-0.02478	0.2805	0.36975
CX14	ID29	-0.004238	0.8536	0.8536
CX14	ID30	-0.0326	0.1556	0.265435294117647
CX14	ID31	0.02411	0.2937	0.370317391304348
CX14	ID32	0.004971	0.8287	0.8536
CX15	ID1	-0.06732	0.003343	0.0292755
CX15	ID2	-0.05778	0.01181	0.0489271428571429
CX15	ID3	-0.06597	0.004038	0.0292755
CX15	ID4	-0.05957	0.009438	0.045617
CX15	ID5	-0.06005	0.008878	0.045617
CX15	ID6	-0.06939	0.002488	0.0292755
CX15	ID7	-0.006333	0.7828	0.873123076923077
CX15	ID8	-0.005204	0.8208	0.8813
CX15	ID9	0.003537	0.8776	0.8813
CX15	ID10	-0.06621	0.003907	0.0292755
CX15	ID11	-0.0367	0.1099	0.2019125
CX15	ID12	-0.04504	0.04978	0.144362
CX15	ID13	0.01178	0.6081	0.7347875
CX15	ID14	-0.04604	0.04492	0.144362
CX15	ID18	-0.03051	0.1839	0.253957142857143
CX15	ID19	0.01022	0.6562	0.761192
CX15	ID20	-0.0366	0.1109	0.2019125
CX15	ID21	-0.02851	0.2145	0.28275
CX15	ID22	-0.03451	0.1329	0.214116666666667
CX15	ID23	-0.03454	0.1326	0.214116666666667
CX15	ID24	-0.03061	0.1826	0.253957142857143
CX15	ID25	-0.0366	0.1109	0.2019125
CX15	ID26	-0.03674	0.1096	0.2019125
CX15	ID27	-0.03656	0.1114	0.2019125
CX15	ID28	-0.03052	0.1839	0.253957142857143
CX15	ID29	-0.003431	0.8813	0.8813
CX15	ID30	-0.0367	0.11	0.2019125
CX15	ID31	0.05156	0.02468	0.089465
CX15	ID32	-0.01193	0.6034	0.7347875
CX16	ID1	0.06485	0.004708	0.0170665
CX16	ID2	0.076	0.0009215	0.00540792
CX16	ID3	0.07213	0.001664	0.00689371428571429
CX16	ID4	0.07592	0.0009324	0.00540792
CX16	ID5	0.03342	0.1456	0.201066666666667
CX16	ID6	0.07666	0.0008301	0.00540792
CX16	ID7	-0.03486	0.1289	0.186905
CX16	ID8	0.07954	0.0005238	0.00540792
CX16	ID9	-0.004405	0.8479	0.8479
CX16	ID10	0.01742	0.4483	0.523624
CX16	ID11	0.01257	0.5843	0.605167857142857
CX16	ID12	0.1093	1.81e-06	5.249e-05
CX16	ID13	-0.01621	0.4802	0.535607692307692
CX16	ID14	0.07309	0.00144	0.00689371428571429
CX16	ID18	-0.0487	0.03389	0.0883305882352941
CX16	ID19	-0.01402	0.5417	0.581825925925926
CX16	ID20	-0.04465	0.05178	0.0883305882352941
CX16	ID21	-0.04738	0.039	0.0883305882352941
CX16	ID22	-0.04322	0.05975	0.0911973684210526
CX16	ID23	-0.04322	0.05975	0.0911973684210526
CX16	ID24	-0.0487	0.03389	0.0883305882352941
CX16	ID25	-0.04465	0.05178	0.0883305882352941
CX16	ID26	-0.04465	0.05178	0.0883305882352941
CX16	ID27	-0.04465	0.05178	0.0883305882352941
CX16	ID28	-0.0487	0.03389	0.0883305882352941
CX16	ID29	-0.03202	0.1632	0.215127272727273
CX16	ID30	-0.04465	0.05178	0.0883305882352941
CX16	ID31	0.0173	0.4514	0.523624
CX16	ID32	-0.03042	0.1852	0.233513043478261
CX17	ID1	0.09158	6.456e-05	0.00031204
CX17	ID2	0.1061	3.637e-06	3.51576666666667e-05
CX17	ID3	0.09888	1.591e-05	0.0001153475
CX17	ID4	0.1096	1.703e-06	2.46935e-05
CX17	ID5	0.05548	0.01563	0.05665875
CX17	ID6	0.1134	7.236e-07	2.09844e-05
CX17	ID7	-0.05286	0.02128	0.0685688888888889
CX17	ID8	0.02384	0.2992	0.321362962962963
CX17	ID9	0.00684	0.7658	0.79315
CX17	ID10	0.09621	2.688e-05	0.000155904
CX17	ID11	0.03541	0.123	0.2378
CX17	ID12	-0.0003046	0.9894	0.9894
CX17	ID13	-0.04325	0.05957	0.134069230769231
CX17	ID14	0.07455	0.001154	0.00478085714285714
CX17	ID18	-0.03268	0.1547	0.252138888888889
CX17	ID19	-0.04316	0.0601	0.134069230769231
