CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-06-0166-b	4.643	38.75	9.7	1.023	2.563	4.514	8.805	0	0	0	0	0	0	0	5.974	0	8.038
TCGA-06-0168-b	5.398	10.57	0	0	0	0	0	0	0	0	0	0	0	4.743	2.538	0	3.313
TCGA-06-0169	5.405	17.9	0	1.211	1.327	0.1734	0	0	2.566	0	0.1936	0.5821	0.186	0	0	0	0
TCGA-06-0171-a	4.932	19.36	7.857	0	0	0	0	0	0	0	0	0	0	13.92	6.704	0	0
TCGA-06-0173	5.118	22.61	2.99	0	5.454	1.87	9.607	0	7.839	0	6.736	0	19.13	1.973	0	0	0
TCGA-06-0174	5.299	15.83	0	0	3.357	1.051	2.092	0	0	0	3.058	0	15.25	0	0	3.082	0
TCGA-06-0176-a	5.584	0	0	2.638	0	7.499	13.7	0	0	0	0	0	0	0	0	0	0
TCGA-06-0184	5.241	16.14	0	28.39	5.806	1.674	0	0	0	7.552	0	0.09711	0	7.692	0	0	0
TCGA-06-0185	5.248	21.31	0	0	3.033	0.6517	3.17	0	0	0	0	0.397	1.516	0	0	0	5.899
TCGA-06-0187	5.331	21.73	0	0	2.927	0.92	0	0	4.965	0	2.166	0.4663	7.766	0	0	0	0
TCGA-06-0188	5.055	17.12	6.192	0	1.669	4.229	16.7	0	0	0	1.146	0	0	0	0	0	4.654
TCGA-06-0192	5.309	24.05	0	0	1.331	3.44	6.828	5.444	0	0	0.7558	0	0	6.452	0	2.203	0
TCGA-06-0195	5.333	13.44	2.67	10.01	0	6.627	3.608	0	0	0	0	0.2318	1.614	0	0	0	0
TCGA-06-0206	5.45	0	0	35.45	1.455	5.192	0	2.27	0	0	0	0	0.2361	5.191	0	2.229	0
TCGA-06-0208	5.343	23.39	0	0	1.707	0	1.027	0	0	0	0	0	1.608	0	0	0	0
TCGA-06-0209	5.127	9.475	2.758	0	0.2452	5.395	10.5	3.59	0	0	1.09	0	8.617	0	12.01	0	0
TCGA-06-0210-c	5.394	13.2	0	0	1.515	0	0	0	6.947	0	1.201	0.5493	6.83	0	0	2.344	0
TCGA-06-0211-a	5.325	23.63	0	0	1.962	1.438	1.108	0	2.613	0	2.185	0	7.146	0	0	0	0
TCGA-06-0213	5.23	15.67	3.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0214	4.703	37.07	8.056	0	0	0.1968	0	0.7077	0	0	0.487	0	2.56	0	9.501	0	0
TCGA-06-0219	4.823	23.24	9.81	0	0.657	0	0	0	0	0	0	0.2172	0.8667	0	1.908	1.11	0
TCGA-06-0221-a	4.779	13.74	2.599	0	4.146	0	1.296	32.2	0	12.3	3.508	0	6.264	6.662	22.02	0	0
