"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX2"	"MRE11"	"0.0112803374332208"	"0.417233417905733"	0.494900244615458
"CX2"	"FANCL"	"0.0110066177080925"	"0.428626354720909"	0.506222505144522
"CX2"	"ALKBH2"	"-0.0108340630091588"	"0.435900560815946"	0.510840628503435
"CX2"	"RAD52"	"0.0108254535655765"	"0.436265354269357"	0.510840628503435
"CX2"	"TOP3A"	"0.0107361153731003"	"0.44006110002406"	0.513092516623798
"CX2"	"COPS7A"	"-0.0101887164089184"	"0.463728229334652"	0.538396334058028
"CX2"	"PIAS4"	"-0.00968490746813862"	"0.486122981084817"	0.562015598384978
"CX2"	"RMI1"	"0.00840505237737232"	"0.548240683690352"	0.630069664679212
"CX2"	"UBE2L6"	"0.0083207292201107"	"0.549586313351575"	0.630069664679212
"CX2"	"TDP1"	"0.00796463868117039"	"0.566799568737361"	0.647096174308487
"CX2"	"RPA3"	"0.00780917007229368"	"0.574395040713704"	0.653046643798983
"CX2"	"ABL1"	"-0.00730129069990581"	"0.599537481477581"	0.676021686933569
"CX2"	"UBB"	"0.00734501609067897"	"0.597353373546011"	0.676021686933569
"CX2"	"ATRIP"	"-0.00716683891448223"	"0.606275960629334"	0.680818086936219
